link,date,title
https://www.gob.mx//presidencia/es/articulos/version-estenografica-mensaje-de-la-presidenta-de-mexico-claudia-sheinbaum-pardo-410316?idiom=es,2025-10-12,"Versión estenográfica. Mensaje de la Presidenta de México, Claudia Sheinbaum Pardo"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-10-de-octubre-de-2025-410188?idiom=es,2025-10-10,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 10 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-09-de-octubre-de-2025?idiom=es,2025-10-09,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 09 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-08-de-octubre-de-2025?idiom=es,2025-10-08,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 08 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-07-de-octubre-de-2025?idiom=es,2025-10-07,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 07 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-06-de-octubre-de-2025?idiom=es,2025-10-06,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 06 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-zocalo-de-la-ciudad-de-mexico?idiom=es,2025-10-05,Versión estenográfica. La transformación avanza. Zócalo de la Ciudad de México
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-03-de-octubre-de-2025?idiom=es,2025-10-03,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 03 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-02-de-octubre-de-2025?idiom=es,2025-10-02,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 02 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-01-de-octubre-de-2025?idiom=es,2025-10-01,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 01 de octubre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-morelos?idiom=es,2025-09-30,Versión estenográfica. La transformación avanza en Morelos
https://www.gob.mx//presidencia/es/articulos/version-estenografica-supervision-tras-lluvias-en-oriente-de-la-zona-metropolitana-del-valle-de-mexico?idiom=es,2025-09-30,Versión estenográfica. Supervisión tras lluvias en oriente de la Zona Metropolitana del Valle de México
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-30-de-septiembre-de-2025?idiom=es,2025-09-30,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 30 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-29-de-septiembre-de-2025?idiom=es,2025-09-29,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 29 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-colima?idiom=es,2025-09-28,Versión estenográfica. La transformación avanza en Colima
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-jalisco?idiom=es,2025-09-28,Versión estenográfica. La transformación avanza en Jalisco
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-nayarit?idiom=es,2025-09-27,Versión estenográfica. La transformación avanza en Nayarit
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-sinaloa?idiom=es,2025-09-27,Versión estenográfica. La transformación avanza en Sinaloa
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-baja-california-sur?idiom=es,2025-09-27,Versión estenográfica. La transformación avanza en Baja California Sur
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-baja-california?idiom=es,2025-09-26,Versión estenográfica. La transformación avanza en Baja California
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-chihuahua?idiom=es,2025-09-26,Versión estenográfica. La transformación avanza en Chihuahua
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-26-de-septiembre-de-2025?idiom=es,2025-09-26,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 26 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-25-de-septiembre-de-2025?idiom=es,2025-09-25,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 25 de septiembre de 2025
